l3_code,L1_name,L2_name,l3_name
0,"Computer science, information & general works","Computer science, knowledge & systems","Computer science, information, general works"
1,"Computer science, information & general works","Computer science, knowledge & systems",Knowledge
10,"Computer science, information & general works",Bibliographies,Bibliography
100,Philosophy & psychology,Philosophy,Philosophy & psychology
101,Philosophy & psychology,Philosophy,Theory of philosophy
102,Philosophy & psychology,Philosophy,Miscellany of philosophy
103,Philosophy & psychology,Philosophy,Dictionaries & encyclopedias
104,Philosophy & psychology,Philosophy,[Unassigned]
105,Philosophy & psychology,Philosophy,Serial publications of philosophy
106,Philosophy & psychology,Philosophy,Organizations & management
107,Philosophy & psychology,Philosophy,"Education, research & related topics"
108,Philosophy & psychology,Philosophy,Groups of people
109,Philosophy & psychology,Philosophy,Historical and collected biography
11,"Computer science, information & general works",Bibliographies,Bibliographies and catalogs
110,Philosophy & psychology,Metaphysics,Metaphysics
111,Philosophy & psychology,Metaphysics,Ontology
112,Philosophy & psychology,Metaphysics,[Unassigned]
113,Philosophy & psychology,Metaphysics,Cosmology (Philosophy of nature)
114,Philosophy & psychology,Metaphysics,Space
115,Philosophy & psychology,Metaphysics,Time
116,Philosophy & psychology,Metaphysics,Change
117,Philosophy & psychology,Metaphysics,Structure
118,Philosophy & psychology,Metaphysics,Force and energy
119,Philosophy & psychology,Metaphysics,Number and quantity
12,"Computer science, information & general works",Bibliographies,Bibliographies and catalogs of individuals
120,Philosophy & psychology,Epistemology,"Epistemology, causation, humankind"
121,Philosophy & psychology,Epistemology,Epistemology (Theory of knowledge)
122,Philosophy & psychology,Epistemology,Causation
123,Philosophy & psychology,Epistemology,Determinism and indeterminism
124,Philosophy & psychology,Epistemology,Teleology
125,Philosophy & psychology,Epistemology,[Unassigned]
126,Philosophy & psychology,Epistemology,The self
127,Philosophy & psychology,Epistemology,The unconscious and the subconscious
128,Philosophy & psychology,Epistemology,Humankind
129,Philosophy & psychology,Epistemology,Origin and destiny of individual souls
13,"Computer science, information & general works",Bibliographies,[Unassigned]
130,Philosophy & psychology,Parapsychology & occultism,Parapsychology and occultism
131,Philosophy & psychology,Parapsychology & occultism,Parapsychological and occult methods
132,Philosophy & psychology,Parapsychology & occultism,[Unassigned]
133,Philosophy & psychology,Parapsychology & occultism,Specific topics in parapsychology & occultism
134,Philosophy & psychology,Parapsychology & occultism,[Unassigned]
135,Philosophy & psychology,Parapsychology & occultism,Dreams and mysteries
136,Philosophy & psychology,Parapsychology & occultism,[Unassigned]
137,Philosophy & psychology,Parapsychology & occultism,Divinatory graphology
138,Philosophy & psychology,Parapsychology & occultism,Physiognomy
139,Philosophy & psychology,Parapsychology & occultism,Phrenology
